fips,country,state,county,level,lat,locationId,long,population,metrics.testPositivityRatio,metrics.testPositivityRatioDetails.source,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,metrics.icuHeadroomRatio,metrics.icuHeadroomDetails.currentIcuCovid,metrics.icuHeadroomDetails.currentIcuCovidMethod,metrics.icuHeadroomDetails.currentIcuNonCovid,metrics.icuHeadroomDetails.currentIcuNonCovidMethod,metrics.icuCapacityRatio,riskLevels.overall,riskLevels.testPositivityRatio,riskLevels.caseDensity,riskLevels.contactTracerCapacityRatio,riskLevels.infectionRate,riskLevels.icuHeadroomRatio,riskLevels.icuCapacityRatio,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,actuals.hospitalBeds.typicalUsageRate,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,actuals.icuBeds.typicalUsageRate,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,lastUpdatedDate,url,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio,actuals.newDeaths,actuals.vaccinesAdministered
02,USA,AK,,state,,iso1:us#iso2:us-ak,,731545,0.028949239300440778,other,20.719358149044634,0.3100848256361923,1.05207392693,0.12175051019000027,0.16216216216216217,6,actual,92,actual,0.7596899224806202,2,0,2,1,1,0,1,61744,299,102690,1901606,235,1853,1000,28,0.58,129,98,6,0.676923076923,186,570465,245355,160197,2021-03-29,https://covidactnow.org/us/alaska-ak,0.3353929013252773,0.2189844780567156,0,401502
01,USA,AL,,state,,iso1:us#iso2:us-al,,4903185,0.053523861122398306,other,8.539638739192704,0.19297168201978848,0.858615672029,0.10000000000000009,0.27564102564102566,129,actual,1170,actual,0.793040293040293,1,1,1,1,0,0,1,511826,10526,506152,3642009,404,19167,11199,469,0.6,1638,1299,129,0.7,319,2537050,1108253,628500,2021-03-29,https://covidactnow.org/us/alabama-al,0.22602716397606862,0.12818198783035925,0,1659102
05,USA,AR,,state,,iso1:us#iso2:us-ar,,3017804,0.019487908961593175,other,6.030875431273867,0.8681318681318682,0.810662931365,0.09999999999999998,0.14,56,actual,584,actual,0.6504065040650406,1,0,1,1,0,0,0,329929,5595,229711,2351444,790,13284,6203,223,0.55,984,640,56,0.61,69,1662850,763783,403398,2021-03-29,https://covidactnow.org/us/arkansas-ar,0.2530923148090466,0.13367269710027557,5,1143893
04,USA,AZ,,state,,iso1:us#iso2:us-az,,7278717,0.03842209243325525,other,7.134302848781101,0.1525171939477304,0.775534222527,0.09999999999999998,0.07101086048454469,85,actual,1030,actual,0.5006735518634935,1,1,1,1,0,0,0,838547,16919,820707,5835499,396,18286,11749,606,0.6,2227,1115,85,0.829018663456,554,3970345,2072778,1182684,2021-03-29,https://covidactnow.org/us/arizona-az,0.28477243997808954,0.16248522919629932,6,3308671
06,USA,CA,,state,,iso1:us#iso2:us-ca,,39512223,0.01920701037497173,other,6.743302120532604,0.7956677926116561,0.894105766357,0.09999999999999998,0.21770516717325228,573,actual,4504,actual,0.7114630044843049,1,0,1,1,0,0,1,3661303,58900,3610393,41300950,10600,99574,47983,2743,0.6,7136,5077,573,0.59,2499,21865730,11574080,5983249,2021-03-29,https://covidactnow.org/us/california-ca,0.2929240402393963,0.15142779994939792,126,17335020
08,USA,CO,,state,,iso1:us#iso2:us-co,,5758736,0.039634790695053046,other,20.093695164057827,0.22469135802469137,1.05486886817,0.10000000000000009,0.22467771639042358,122,actual,745,actual,0.6731366459627329,2,1,2,1,1,0,0,460827,6165,443781,5983433,1300,13464,8153,410,0.63,1288,867,122,0.8043135192,713,3060410,1639579,966835,2021-03-29,https://covidactnow.org/us/colorado-co,0.2847116103255992,0.16789014116986783,0,2569087
09,USA,CT,,state,,iso1:us#iso2:us-ct,,3565287,0.03761061946902655,other,34.1346993944667,0.14133114215283485,1.1791949265000001,0.09999999999999987,0.18773234200743494,101,actual,536,actual,0.5931098696461825,3,1,3,1,2,0,0,304386,7865,428797,7188292,860,8238,6587,547,0.68,1074,637,101,0.65,1700,2211275,1202316,682603,2021-03-29,https://covidactnow.org/us/connecticut-ct,0.33722839143104044,0.1914580789709216,0,1854289
11,USA,DC,,state,,iso1:us#iso2:us-dc,,705749,0.028021104182970238,other,19.148855633214804,0.3966173361522199,0.984196659841,0.130499784159,0.3442622950819672,42,actual,229,actual,0.7720797720797721,2,0,2,1,1,0,1,44175,1056,61663,1551573,268,4623,2668,175,0.76,351,271,42,0.8289855072460001,124,491635,175453,88137,2021-03-29,https://covidactnow.org/us/district_of_columbia-dc,0.24860538236681878,0.1248843427337481,0,344954
10,USA,DE,,state,,iso1:us#iso2:us-de,,973764,0.04333804995228537,other,26.040337142411154,0.1664225352112676,1.0622282778299998,0.10000000000000009,0.20833333333333334,10,actual,145,actual,0.8031088082901554,3,1,3,1,1,0,2,94062,1544,109121,1652614,211,4052,2491,144,0.71,193,155,10,0.73,361,555005,285100,149897,2021-03-29,https://covidactnow.org/us/delaware-de,0.292781413155549,0.1539356558673354,0,438768
12,USA,FL,,state,,iso1:us#iso2:us-fl,,21477737,0.07374842630834012,other,23.716252255599766,0.10208660533991475,1.03136767185,0.10000000000000009,0.32774765894529323,665,actual,4428,actual,0.7887563884156729,2,1,2,1,1,0,1,2040127,33177,2561766,22557680,2600,76852,45163,3295,0.76,6457,5093,665,0.76,4943,12219460,5837452,3248263,2021-03-29,https://covidactnow.org/us/florida-fl,0.2717908315945949,0.15123860581773582,36,9271008
